name,college,major,paper
王海宁,云南师范大学,计算机软件及计算机应用;文化;自动化技术;,民族节日知识图谱构建与应用研究
何芙珍,苏州大学,计算机软件及计算机应用;电力工业;图书情报与数字图书馆;,异构知识图谱融合系统的研究与实现
王成龙,辽宁中医药大学,中医学;图书情报与数字图书馆;,基于文献计量学针刺治疗膝骨性关节炎的知识图谱分析
李梦妮,浙江工业大学,计算机软件及计算机应用;电力工业;自动化技术;,基于多源数据的高校学术知识图谱构建及其应用研究
马欢欢,哈尔滨工业大学,计算机软件及计算机应用;自动化技术;,知识图谱上的学习和推理算法研究
乔振浩,哈尔滨工业大学,计算机软件及计算机应用;电力工业;自动化技术;,基于知识图谱的问答系统研究与应用
付晨鹏,科大讯飞(苏州)科技有限公司,电力工业;计算机软件及计算机应用;,知识图谱必要关系判定与开放式补全技术的研究与实现
杨一帆,苏州大学,计算机软件及计算机应用;图书情报与数字图书馆;,基于简介文本的属性挖掘与知识图谱构建
薛坤,大连理工大学,计算机软件及计算机应用;军事;,面向军事领域的知识图谱构建与应用研究
刘龙航,哈尔滨工业大学,医学教育与医学边缘学科;计算机软件及计算机应用;,基于多资源的中文医疗知识图谱构建方法研究
王康,浙江工业大学,计算机软件及计算机应用;机械工业;电力工业;,基于知识图谱的机械产品智能化设计建模与云服务平台
裘科意,浙江工业大学,计算机软件及计算机应用;互联网技术;电力工业;,基于STEP知识图谱的产品语义检索
李其娜,广西师范大学,计算机软件及计算机应用;计算机硬件技术;电力工业;,基于知识图谱的《数据结构》个性化习题推荐系统研究与实现
张琦玉,北京交通大学,计算机软件及计算机应用;图书情报与数字图书馆;,基于知识图谱的课纲信息检索系统的设计与开发
杨一帆,北京交通大学,图书情报与数字图书馆;金属学及金属工艺;,钢结构领域知识图谱构建研究
汪鑫禹,安徽农业大学,自动化技术;电力工业;计算机软件及计算机应用;,基于知识图谱的自主作业插秧机任务规划研究
王欣欣,温州大学,计算机软件及计算机应用;自动化技术;,基于深度学习的学科知识图谱构建
崔文星,北京交通大学,医学教育与医学边缘学科;计算机软件及计算机应用;自动化技术;,基于多源的医疗商业知识图谱构建研究与实现
吕颖,北京交通大学,中医学;计算机软件及计算机应用;自动化技术;,面向中医问答的知识图谱构建及问题表示算法研究
潘怀奇,广西国际商务职业技术学院,计算机软件及计算机应用;自动化技术;电力工业;,基于知识图谱元路径的协同过滤推荐算法研究
褚冰,东北石油大学,计算机软件及计算机应用;图书情报与数字图书馆;石油天然气工业;,基于知识图谱的油藏构造知识服务系统研究
徐帅博,宁夏大学,计算机软件及计算机应用;植物保护;,基于枸杞病虫害知识图谱的问答系统研究与实现
王珅,北京交通大学,计算机软件及计算机应用;肿瘤学;,基于嵌套命名实体识别的肿瘤知识图谱构建
陈威,贵州大学,自动化技术;冶金工业;,铝电解工业知识图谱的构建关键技术研究
罗睿孜,西安工业大学,计算机软件及计算机应用;,基于知识图谱的WEB语义结构生成研究
陈文哲,贵州大学,计算机软件及计算机应用;公安;,融合知识图谱的法律文本表示方法研究
王子昊,北京邮电大学,电信技术;计算机软件及计算机应用;自动化技术;,AS自治域知识图谱的构建与展示
郭金,西安电子科技大学,医学教育与医学边缘学科;计算机软件及计算机应用;,基于知识图谱的智慧医疗问答系统的设计与实现
苏杭,北京邮电大学,科学研究管理;计算机软件及计算机应用;电力工业;,基于知识图谱的科技资源整合系统的设计与实现
程瑞,北京邮电大学,电力工业;计算机软件及计算机应用;医学教育与医学边缘学科;,面向中文医疗知识图谱的实体对齐方法研究及应用
韩维壮,北京工业大学,计算机软件及计算机应用;,基于知识图谱的电影推荐算法研究
王博,北京工业大学,计算机软件及计算机应用;,基于知识图谱的协同过滤推荐技术研究
张佳慧,北京工业大学,计算机软件及计算机应用;医药卫生方针政策与法律法规研究;环境科学与资源利用;,基于电子病历的知识图谱构建与疾病预测研究
杜香焜,北京工业大学,计算机软件及计算机应用;,基于知识图谱表示学习的推荐技术研究与应用
王雁鹏,云南大学,计算机软件及计算机应用;自动化技术;,基于知识图谱的图像描述改进
贺云聪,云南大学,计算机软件及计算机应用;,基于概念约束的知识图谱补全及其在推荐系统中的应用
李子璇,天津科技大学,计算机软件及计算机应用;轻工业手工业;,基于知识图谱的食品安全案例检索方法研究
