name,college,major,paper
胡运涛,北京明略软件系统有限公司,电力工业;公安;计算机软件及计算机应用;,知识图谱在公安领域的构建与应用研究
苗世茂,北京明略软件系统有限公司,计算机软件及计算机应用;公安;,知识图谱在公安领域的构建与应用研究
马忠贵,北京科技大学,电信技术;计算机软件及计算机应用;自动化技术;,知识图谱的最新进展、关键技术和挑战
倪润宇,北京科技大学,计算机软件及计算机应用;图书情报与数字图书馆;,知识图谱的最新进展、关键技术和挑战
余开航,北京科技大学,计算机软件及计算机应用;图书情报与数字图书馆;,知识图谱的最新进展、关键技术和挑战
家明强,云南师范大学,计算机软件及计算机应用;计算机硬件技术;教育理论与教育管理;,知识图谱的构建及应用研究
张彦,中国航空无线电电子研究所,计算机软件及计算机应用;计算机硬件技术;航空航天科学与工程;,面向软件工程的知识图谱构建技术研究
孟令军,中国航空无线电电子研究所,计算机软件及计算机应用;计算机硬件技术;航空航天科学与工程;,面向软件工程的知识图谱构建技术研究
王瑞辰,中国航空无线电电子研究所,计算机软件及计算机应用;电力工业;,面向软件工程的知识图谱构建技术研究
向军毅,武汉科技大学,计算机软件及计算机应用;,COVID-19物资知识图谱的构建
胡慧君,武汉科技大学,计算机软件及计算机应用;自动化技术;高等教育;,COVID-19物资知识图谱的构建
刘宇,武汉科技大学,计算机软件及计算机应用;自动化技术;仪器仪表工业;,COVID-19物资知识图谱的构建
高峰,武汉科技大学,计算机软件及计算机应用;医学教育与医学边缘学科;预防医学与卫生学;,COVID-19物资知识图谱的构建
唐东昕,贵州中医药大学第一附属医院,中医学;中药学;肿瘤学;,COVID-19物资知识图谱的构建
刘茂福,武汉科技大学,计算机软件及计算机应用;自动化技术;高等教育;,COVID-19物资知识图谱的构建
田迎,湖北大学,计算机软件及计算机应用;自动化技术;精神病学;,基于知识图谱的抑郁症自动问答系统研究
单娅辉,湖北大学,计算机软件及计算机应用;中药学;图书情报与数字图书馆;,基于知识图谱的抑郁症自动问答系统研究
王时绘,湖北大学,计算机软件及计算机应用;电信技术;互联网技术;,基于知识图谱的抑郁症自动问答系统研究
刘晨光,陆军工程大学,工业通用技术及设备;数学;计算机软件及计算机应用;,装备保障性验证知识图谱构建方法研究
李星新,陆军工程大学,计算机软件及计算机应用;武器工业与军事技术;自动化技术;,装备保障性验证知识图谱构建方法研究
于永利,陆军工程大学,武器工业与军事技术;计算机软件及计算机应用;军事;,装备保障性验证知识图谱构建方法研究
孙也尊,解放军32382部队,计算机软件及计算机应用;,装备保障性验证知识图谱构建方法研究
赵振兵,华北电力大学,计算机软件及计算机应用;电力工业;自动化技术;,基于门控图神经网络的栓母对知识图谱构建与应用
段记坤,华北电力大学,计算机软件及计算机应用;电力工业;自动化技术;,基于门控图神经网络的栓母对知识图谱构建与应用
孔英会,华北电力大学,计算机软件及计算机应用;电力工业;自动化技术;,基于门控图神经网络的栓母对知识图谱构建与应用
张东霞,中国电力科学研究院,电力工业;工业经济;计算机软件及计算机应用;,基于门控图神经网络的栓母对知识图谱构建与应用
涂俊彪,洛阳师范学院,体育;轻工业手工业;仪器仪表工业;,科学知识图谱在体育科学研究中的应用探析
赵紫英,工银瑞信基金管理有限公司,证券;投资;图书情报与数字图书馆;,基金行业知识图谱的构建与应用
张化军,工银瑞信基金管理有限公司,证券;投资;图书情报与数字图书馆;,基金行业知识图谱的构建与应用
刘振业,工银瑞信基金管理有限公司,证券;投资;图书情报与数字图书馆;,基金行业知识图谱的构建与应用
林一松,中国建设银行,金融;企业经济;图书情报与数字图书馆;,知识图谱在金融行业的应用研究
秦祎,中国建设银行,金融;投资;图书情报与数字图书馆;,知识图谱在金融行业的应用研究
秦浩炜,中国建设银行,金融;企业经济;图书情报与数字图书馆;,知识图谱在金融行业的应用研究
卢恒,吉林大学,图书情报与数字图书馆;计算机软件及计算机应用;新闻与传媒;,基于知识图谱的网络社区学术资源深度聚合框架研究
张向先,吉林大学,图书情报与数字图书馆;新闻与传媒;企业经济;,基于知识图谱的网络社区学术资源深度聚合框架研究
尚丽维,吉林大学,图书情报与数字图书馆;新闻与传媒;医学教育与医学边缘学科;,基于知识图谱的网络社区学术资源深度聚合框架研究
郭勇,中南大学,图书情报与数字图书馆;新闻与传媒;社会学及统计学;,基于知识图谱的网络社区学术资源深度聚合框架研究
高鸿斌,河北科技大学,计算机软件及计算机应用;自动化技术;电信技术;,K-VQA:一种知识图谱辅助下的视觉问答方法
毛金莹,河北科技大学,计算机软件及计算机应用;,K-VQA:一种知识图谱辅助下的视觉问答方法
王会勇,河北科技大学,计算机软件及计算机应用;自动化技术;电力工业;,K-VQA:一种知识图谱辅助下的视觉问答方法
陶坤旺,中国测绘科学研究院,自然地理学和测绘学;计算机软件及计算机应用;计算机硬件技术;,面向一体化综合减灾的知识图谱构建方法
赵阳阳,中国测绘科学研究院,自然地理学和测绘学;计算机软件及计算机应用;环境科学与资源利用;,面向一体化综合减灾的知识图谱构建方法
朱鹏,中国测绘科学研究院,计算机软件及计算机应用;地质学;地球物理学;,面向一体化综合减灾的知识图谱构建方法
朱月月,兰州交通大学,地质学;工业通用技术及设备;自然地理学和测绘学;,面向一体化综合减灾的知识图谱构建方法
刘帅,辽宁工程技术大学,地质学;地球物理学;,面向一体化综合减灾的知识图谱构建方法
赵习枝,中国测绘科学研究院,自然地理学和测绘学;地质学;计算机软件及计算机应用;,面向一体化综合减灾的知识图谱构建方法
于淑婷,石河子大学,肿瘤学;,肿瘤相关的细胞外基质基因知识图谱的构建与应用
黄煜俊,湖北工业大学,计算机软件及计算机应用;电力工业;自动化技术;,基于深度学习的裁判文书知识图谱构建研究
王英杰,北京建筑大学,计算机软件及计算机应用;自然地理学和测绘学;水利水电工程;,基于知识图谱的地理实体关系构建研究
张肃,长春理工大学,物理学;仪器仪表工业;材料科学;,基于知识图谱的企业知识服务模型构建研究
许慧,长春理工大学,宏观经济管理与可持续发展;金融;企业经济;,基于知识图谱的企业知识服务模型构建研究
